kod;nazev;dilci_proces_kod;vykonava;spolupracuje;vnitrni_predpis;sekce;zdroj_radek
01-02-002-0001;Koordinace plnění úkolů resortních služebních úřadů;01-02-002;951;věcněpříslušné útvary XÚ, podřízené služební úřady;;92;6
07-08-009-0001;Koordinace a schvalování návrhů systemizace resortních služebních úřadů v ISX (modul MODA);07-08-009;951;odbor 921, sekce 94, podřízené služební úřady;;92;7
07-08-009-0002;Tvorba Organizačního řádu XÚ a metodická činnost k vydávání služebních předpisů a metodických pokynů státního tajemníka;07-08-009;951;věcně příslušné útvary XÚ;VP 01/2015, VP 02/2016;92;8
07-08-009-0003;Tvorba Služebního řádu XÚ;07-08-009;952;odbor 921;VP 03/2017;92;9
07-04-004-0001;Vyřizování stížností podle zákona o státní službě;07-04-004;952;věcněpříslušné útvary XÚ, podřízené služební úřady;"VP 04/2018; VP 03/2017; VP 05/2019";92;10
07-08-001-0001;Realizace správního řízení v záležitostech státní služby (vybrané úkoly prvoinstančního služebního orgánu a postupování odvolacímu služebnímu orgánu);07-08-001;952;odbor 921;;92;11
07-08-001-0002;Rozhodování státního tajemníka o odvoláních a v přezkumném řízení;07-08-001;952;podřízené služební úřady;;92;12
01-01-001-0001;Koordinace řízení kvality v XÚ;01-01-001;951;věcně příslušné útvary XÚ;"VP 06/2020; VP 07/2021";92;13
01-01-001-0002;Koordinace strategického řízení v XÚ;01-01-001;951;věcně příslušné útvary XÚ;"VP 08/2022; VP 09/2023";92;14
07-01-004-0001;Vyřizování žádostí XÚ jako povinným subjektem podle zákona č. 106/1999 Sb.;07-01-004;951;věcně příslušné útvary XÚ;VP 10/2024;92;15
07-01-004-0002;Rozhodování ministra o stížnostech na postup při vyřizování žádostí o informace podle zákona č. 106/1999 Sb.;07-01-004;952;;VP 10/2024;92;16
07-01-004-0003;Činnosti XÚ jako odvolacího orgánu podle zákona č. 106/1999 Sb. (rozhodování ŘO 95, kontrolní činnost vůči podřízeným služebním úřadům);07-01-004;951;věcně příslušné útvary XÚ;VP 10/2024;92;17
01-05-001-0001;Tvorba Interního protikorupčního programu XÚ;01-05-001;951;;VP 11/2015;92;18
01-05-002-0001;Tvorba a zajišťování Vnitřního oznamovacího systému XÚ pro podávání oznámení (korupce, obtěžování, zákon č. 171/2023 Sb.);01-05-002;951;;VOZ XÚ, VP 11/2015;92;19
07-04-004-0002;Koordinace vyřizování petic doručených XÚ;07-04-004;951;věcně příslušné útvary XÚ;VP 12/2016;92;20
