kod;nazev;proces_kod;vlastnik;stav_rejstrik;pocet_aktivit;zdroj
01-01-001;Řízení strategie XÚ;01-01;922;využitý;2;rejstrik
01-01-002;Řízení koncepce XÚ;01-01;;nevyužitý;0;rejstrik
01-01-003;Politika lidských zdrojů;01-01;921;využitý;3;rejstrik
01-01-004;Plánování lidských zdrojů;01-01;921;využitý;1;rejstrik
01-02-001;Organizace a řízení projektů;01-02;;nevyužitý;0;rejstrik
01-02-002;Řízení resortních organizací XÚ;01-02;922;využitý;1;rejstrik
01-02-003;Tvorba a připomínkování metodik a interních řídících dokumentů XÚ;01-02;;využitý;0;rejstrik
01-02-004;Analytická, statistická a prognostická činnost;01-02;;nevyužitý;0;rejstrik
01-03-001;Správa rozpočtu XÚ;01-03;;nevyužitý;0;rejstrik
01-03-002;Správa rozpočtu podřízených organizací XÚ;01-03;;nevyužitý;0;rejstrik
01-03-003;Správa rozpočtu KAG;01-03;;nevyužitý;0;rejstrik
01-03-004;Finanční kontrola podřízených organizací;01-03;;nevyužitý;0;rejstrik
01-04-001;Metodické řízení v oblasti programového financování XÚ a resortu.;01-04;;nevyužitý;0;rejstrik
01-04-002;Nastavení a kontrola podmínek realizace akcí a jejich evidence v ISPROFIN;01-04;;nevyužitý;0;rejstrik
01-04-003;Finanční řízení jednotlivých akcí.;01-04;;nevyužitý;0;rejstrik
01-04-004;Řízení a koordinace zpracování dokumentací programů kapitoly.;01-04;;nevyužitý;0;rejstrik
01-04-005;Správa programu dotací do sociální oblasti.;01-04;;nevyužitý;0;rejstrik
01-04-006;Zpracování dokumentace programu a řízení realizace akcí KAG.;01-04;;nevyužitý;0;rejstrik
01-05-001;Boj proti korupci;01-05;922;využitý;1;rejstrik
01-05-002;Oznamování protiprávního jednání;01-05;922;využitý;1;rejstrik
01-05-003;Lobbování;01-05;922;využitý;1;rejstrik
01-06-001;Tvorba koncepcí a strategií v oblasti výzkumu a vývoje;01-06;;využitý-S4;0;rejstrik
01-06-002;Koordinační a organizační činnosti v oblasti výzkumu a vývoje a odborná podpora;01-06;;využitý;0;rejstrik
01-06-003;Poskytování finanční podpory v oblasti výzkumu a vývoje;01-06;;využitý-S4;0;rejstrik
01-06-004;Organizace a řízení navazujících nevýzkumných potřeb v další činnosti resortní výzkumné organizace;01-06;;využitý-S4;0;rejstrik
01-07-001;Plánování auditu;01-07;;využitý;0;rejstrik
01-07-002;Výkon auditu;01-07;;využitý;0;rejstrik
01-07-003;Reporting auditu;01-07;;využitý;0;rejstrik
01-08-001;Plánování kontrol;01-08;;využitý;0;rejstrik
01-08-002;Výkon finanční kontroly;01-08;;využitý;0;rejstrik
01-08-003;Výkon kontroly státní správy;01-08;;využitý;0;rejstrik
01-08-004;Výkon ostatních kontrol;01-08;;využitý;0;rejstrik
