kod;nazev;uroven;nadrizeny_kod
9;Utvar 9 (ministr);ministr;
91;Utvar 91 (odbor);odbor;9
911;Utvar 911 (oddělení);oddělení;91
912;Utvar 912 (oddělení);oddělení;91
92;Utvar 92 (sekce);sekce;9
921;Utvar 921 (odbor);odbor;92
9211;Utvar 9211 (oddělení);oddělení;921
9212;Utvar 9212 (oddělení);oddělení;921
922;Utvar 922 (odbor);odbor;92
9221;Utvar 9221 (oddělení);oddělení;922
9222;Utvar 9222 (oddělení);oddělení;922
93;Utvar 93 (sekce);sekce;9
931;Utvar 931 (oddělení);oddělení;93
932;Utvar 932 (odbor);odbor;93
9321;Utvar 9321 (oddělení);oddělení;932
9322;Utvar 9322 (oddělení);oddělení;932
9323;Utvar 9323 (odbor);odbor;932
933;Utvar 933 (odbor);odbor;93
9331;Utvar 9331 (oddělení);oddělení;933
9332;Utvar 9332 (oddělení);oddělení;933
934;Utvar 934 (odbor);odbor;93
9341;Utvar 9341 (oddělení);oddělení;934
9342;Utvar 9342 (oddělení);oddělení;934
9343;Utvar 9343 (oddělení);oddělení;934
94;Utvar 94 (sekce);sekce;9
941;Utvar 941 (oddělení);oddělení;94
942;Utvar 942 (odbor);odbor;94
9421;Utvar 9421 (oddělení);oddělení;942
9422;Utvar 9422 (oddělení);oddělení;942
9423;Utvar 9423 (oddělení);oddělení;942
943;Utvar 943 (odbor);odbor;94
9431;Utvar 9431 (oddělení);oddělení;943
9432;Utvar 9432 (oddělení);oddělení;943
944;Utvar 944 (odbor);odbor;94
9441;Utvar 9441 (oddělení);oddělení;944
9442;Utvar 9442 (oddělení);oddělení;944
9443;Utvar 9443 (oddělení);oddělení;944
945;Utvar 945 (odbor);odbor;94
9451;Utvar 9451 (oddělení);oddělení;945
9452;Utvar 9452 (oddělení);oddělení;945
946;Utvar 946 (odbor);odbor;94
9461;Utvar 9461 (oddělení);oddělení;946
9462;Utvar 9462 (oddělení);oddělení;946
9463;Utvar 9463 (oddělení);oddělení;946
