aktivita_kod;dilci_proces_kod;primarni
01-02-002-0001;01-02-002;ano
07-08-009-0001;07-08-009;ano
07-08-009-0002;07-08-009;ano
07-08-009-0003;07-08-009;ano
07-04-004-0001;07-04-004;ano
07-08-001-0001;07-08-001;ano
07-08-001-0002;07-08-001;ano
01-01-001-0001;01-01-001;ano
01-01-001-0002;01-01-001;ano
07-01-004-0001;07-01-004;ano
07-01-004-0002;07-01-004;ano
07-01-004-0003;07-01-004;ano
01-05-001-0001;01-05-001;ano
01-05-002-0001;01-05-002;ano
07-04-004-0002;07-04-004;ano
01-05-003-0001;01-05-003;ano
07-04-004-0003;07-04-004;ano
07-11-001-0001;07-11-001;ano
07-11-002-0001;07-11-002;ano
07-11-002-0002;07-11-002;ano
07-04-002-0001;07-04-002;ano
07-04-002-0002;07-04-002;ano
07-04-002-0003;07-04-002;ano
07-04-006-0001;07-04-006;ano
07-04-005-0001;07-04-005;ano
01-01-003-0001;01-01-003;ano
01-01-003-0002;01-01-003;ano
01-01-003-0003;01-01-003;ano
01-01-004-0001;01-01-004;ano
07-08-001-0003;07-08-001;ano
07-08-001-0004;07-08-001;ano
07-08-001-0005;07-08-001;ano
07-08-001-0006;07-08-001;ano
07-08-001-0007;07-08-001;ano
07-08-001-0008;07-08-001;ano
07-08-001-0009;07-08-001;ano
07-08-002-0001;07-08-002;ano
07-08-004-0001;07-08-004;ano
07-08-004-0002;07-08-004;ano
07-08-003-0001;07-08-003;ano
07-08-005-0001;07-08-005;ano
07-08-005-0002;07-08-005;ano
07-08-007-0001;07-08-007;ano
07-08-007-0002;07-08-007;ano
07-08-006-0001;07-08-006;ano
07-08-008-0001;07-08-008;ano
